from	to	direction	method	weight
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|100873|e_gw.58.24.1	0	M0039	0.158538093030437
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|101218|e_gw.60.121.1	0	M0039	0.135651135362482
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|103035|e_gw.67.61.1	0	M0039	0.134620521396097
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|103881|e_gw.70.82.1	0	M0039	0.0530584942272372
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|108600|e_gw.91.123.1	0	M0039	0.166448739416966
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|109075|e_gw.93.54.1	0	M0039	0.107934296346479
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|109595|e_gw.95.80.1	0	M0039	0.152546723114801
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|110962|e_gw.103.58.1	0	M0039	0.121525667017066
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|112837|e_gw.114.54.1	0	M0039	0.0766216147370528
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|112842|e_gw.114.7.1	0	M0039	0.0415221766183871
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|114128|e_gw.123.54.1	0	M0039	0.09909560441852
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|114152|e_gw.123.49.1	0	M0039	0.0419210043304535
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|114223|e_gw.124.52.1	0	M0039	0.196580265057452
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|114551|e_gw.126.116.1	0	M0039	0.109684794556749
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|114921|e_gw.128.6.1	0	M0039	0.0435818397903621
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|118896|e_gw.157.10.1	0	M0039	0.149158031281364
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|120705|e_gw.173.2.1	0	M0039	0.106472663065014
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|123898|e_gw.205.30.1	0	M0039	0.192853082407837
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|124231|e_gw.208.47.1	0	M0039	0.0571216289747733
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|124362|e_gw.210.72.1	0	M0039	0.0603950554655278
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|126388|e_gw.231.36.1	0	M0039	0.180871918388377
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|127852|e_gw.243.64.1	0	M0039	0.0727806435667175
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|128230|e_gw.247.4.1	0	M0039	0.0822256471011709
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|128899|e_gw.257.44.1	0	M0039	0.147399090884591
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|129189|e_gw.262.12.1	0	M0039	0.0563591065798199
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|131398|e_gw.294.64.1	0	M0039	0.0784241315886587
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|135318|e_gw.354.10.1	0	M0039	0.0923148410053587
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|142536|e_gw.679.3.1	0	M0039	0.0898247903971276
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|156458|e_gw.10827.1.1	0	M0039	0.0771779946307838
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|161616|estExt_gwp.C_230001	0	M0039	0.144680511424064
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|162025|estExt_gwp.C_260256	0	M0039	0.143132679257519
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|164044|estExt_gwp.C_460094	0	M0039	0.17164848523759
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|164599|estExt_gwp.C_520012	0	M0039	0.0684865668601849
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|164749|estExt_gwp.C_530090	0	M0039	0.157998063098465
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|164783|estExt_gwp.C_530152	0	M0039	0.163184053242859
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|166542|estExt_gwp.C_750027	0	M0039	0.181096614851367
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|167199|estExt_gwp.C_840046	0	M0039	0.184147328728649
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|167758|estExt_gwp.C_920122	0	M0039	0.188060758965251
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|169407|estExt_gwp.C_1260137	0	M0039	0.121097732497904
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|169715|estExt_gwp.C_1320043	0	M0039	0.0777968418270814
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|170128|estExt_gwp.C_1410003	0	M0039	0.172019262642999
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|170199|estExt_gwp.C_1420062	0	M0039	0.201594611997918
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|170741|estExt_gwp.C_1560051	0	M0039	0.14875297433012
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|170765|estExt_gwp.C_1570016	0	M0039	0.0735574106336421
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|175458|estExt_gwp.C_3950008	0	M0039	0.186556898358363
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|177781|estExt_GenewiseH_1.C_40190	0	M0039	0.0822402002078744
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|178050|estExt_GenewiseH_1.C_50291	0	M0039	0.192039228981987
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|178085|estExt_GenewiseH_1.C_50343	0	M0039	0.0915547978099995
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|178205|estExt_GenewiseH_1.C_50588	0	M0039	0.138273400501556
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|178884|estExt_GenewiseH_1.C_90063	0	M0039	0.15997600288875
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|179620|estExt_GenewiseH_1.C_130251	0	M0039	0.087195194691765
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|179894|estExt_GenewiseH_1.C_140343	0	M0039	0.228437271977757
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|180316|estExt_GenewiseH_1.C_180090	0	M0039	0.122059140340685
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|181253|estExt_GenewiseH_1.C_260219	0	M0039	0.111506749402221
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|183894|estExt_GenewiseH_1.C_520198	0	M0039	0.195784796580892
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|183924|estExt_GenewiseH_1.C_520269	0	M0039	0.165230618234428
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|184512|estExt_GenewiseH_1.C_580285	0	M0039	0.149906999211244
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|184858|estExt_GenewiseH_1.C_620237	0	M0039	0.0655451686661301
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|186704|estExt_GenewiseH_1.C_880277	0	M0039	0.217605106416563
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|186779|estExt_GenewiseH_1.C_890109	0	M0039	0.161542517827603
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|186817|estExt_GenewiseH_1.C_890182	0	M0039	0.167695078455018
