ContigName	Description
jgi|Nemve1|100014|e_gw.55.36.1	Failed axon connections homolog
jgi|Nemve1|100015|e_gw.55.200.1	Ribosome-binding protein 1
jgi|Nemve1|100017|e_gw.55.28.1	Kinesin-like protein KIF6
jgi|Nemve1|100019|e_gw.55.229.1	Collagen-like protein 2
jgi|Nemve1|100030|e_gw.55.76.1	Transforming acidic coiled-coil-containing protein 1
jgi|Nemve1|100049|e_gw.55.63.1	Coiled-coil domain-containing protein 186
jgi|Nemve1|100066|e_gw.55.95.1	Serine/threonine-protein kinase 38-like
jgi|Nemve1|100075|e_gw.55.26.1	Fucolectin
jgi|Nemve1|100082|e_gw.55.165.1	Heparan sulfate 2-O-sulfotransferase 1
jgi|Nemve1|100096|e_gw.55.222.1	Peptide chain release factor 1 {ECO:0000255|HAMAP-Rule:MF_00093}
jgi|Nemve1|100111|e_gw.55.254.1	50S ribosomal protein L28 {ECO:0000255|HAMAP-Rule:MF_00373}
jgi|Nemve1|100119|e_gw.55.184.1	Cilia- and flagella-associated protein 99 {ECO:0000312|HGNC:HGNC:51180}
jgi|Nemve1|10011|gw.156.1.1	Ubiquitin carboxyl-terminal hydrolase 34
jgi|Nemve1|100129|e_gw.55.77.1	Apoptosis regulator BAX
jgi|Nemve1|100135|e_gw.55.9.1	SCY1-like protein 2
jgi|Nemve1|100139|e_gw.55.171.1	Zinc finger protein 768
jgi|Nemve1|100141|e_gw.55.163.1	Polycomb group RING finger protein 6
jgi|Nemve1|100150|e_gw.55.56.1	"Polysialic acid O-acetyltransferase {ECO:0000303|PubMed:15809431, ECO:0000303|PubMed:17519228}"
jgi|Nemve1|100165|e_gw.56.22.1	"Solute carrier family 2, facilitated glucose transporter member 3"
jgi|Nemve1|100173|e_gw.56.127.1	Lactadherin
jgi|Nemve1|100176|e_gw.56.1.1	Zinc finger protein with KRAB and SCAN domains 7
jgi|Nemve1|100191|e_gw.56.94.1	ELAV-like protein 1
jgi|Nemve1|100198|e_gw.56.170.1	F-box only protein 42
jgi|Nemve1|1001|gw.12.1.1	Potassium voltage-gated channel protein Shal
jgi|Nemve1|100219|e_gw.56.117.1	Retrovirus-related Pol polyprotein from transposon 17.6
jgi|Nemve1|100228|e_gw.56.173.1	Fibropellin-1
jgi|Nemve1|100237|e_gw.56.84.1	E3 ubiquitin-protein ligase MYLIP
jgi|Nemve1|100241|e_gw.56.68.1	Uncharacterized protein {ECO:0000313|EMBL:KPK87954.1}
jgi|Nemve1|100259|e_gw.56.184.1	"Dynein heavy chain 1, axonemal"
jgi|Nemve1|100263|e_gw.56.123.1	DENN domain-containing protein 1B {ECO:0000312|MGI:MGI:2447812}
jgi|Nemve1|100266|e_gw.56.95.1	Probable rhodanese domain-containing dual specificity protein phosphatase
jgi|Nemve1|100273|e_gw.56.26.1	TOM1-like protein 2
jgi|Nemve1|100278|e_gw.56.102.1	Bcl-2-like protein 2
jgi|Nemve1|100285|e_gw.56.66.1	Uncharacterized protein {ECO:0000313|EMBL:KOO53404.1}
jgi|Nemve1|100297|e_gw.56.61.1	CDGSH iron-sulfur domain-containing protein 2 homolog
jgi|Nemve1|100311|e_gw.56.93.1	"Dynein heavy chain 1, axonemal"
jgi|Nemve1|100325|e_gw.56.137.1	Small RNA degrading nuclease 5
jgi|Nemve1|100326|e_gw.56.129.1	Ribosome biogenesis protein TSR3 homolog {ECO:0000255|HAMAP-Rule:MF_03146}
jgi|Nemve1|100328|e_gw.56.72.1	AT-hook-containing transcription factor
jgi|Nemve1|100329|e_gw.56.3.1	Protein Wnt-5b
jgi|Nemve1|100333|e_gw.56.48.1	Serine/threonine-protein phosphatase CPPED1
jgi|Nemve1|100342|e_gw.56.108.1	Glutamate carboxypeptidase 2
jgi|Nemve1|100348|e_gw.56.180.1	Putative uncharacterized protein (Fragment) {ECO:0000313|VectorBase:ISCW008171-PA}
jgi|Nemve1|100349|e_gw.56.172.1	No_Description
jgi|Nemve1|100352|e_gw.56.19.1	Polycomb protein Suz12
jgi|Nemve1|100359|e_gw.56.75.1	Protein transport protein Sec31A
jgi|Nemve1|100369|e_gw.57.41.1	TBC1 domain family member 25
jgi|Nemve1|100372|e_gw.57.78.1	Tumor protein 63
jgi|Nemve1|100379|e_gw.57.17.1	E3 ubiquitin-protein ligase HECTD3
jgi|Nemve1|100385|e_gw.57.73.1	Neuropeptide FF receptor 2
jgi|Nemve1|100386|e_gw.57.65.1	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q
jgi|Nemve1|100394|e_gw.57.49.1	Phospholipase B-like 1
jgi|Nemve1|10039|gw.203.19.1	Multidrug resistance-associated protein 1
jgi|Nemve1|100407|e_gw.57.36.1	Glutathione hydrolase 1 proenzyme
jgi|Nemve1|100412|e_gw.57.102.1	Caspase-8
jgi|Nemve1|100421|e_gw.57.195.1	uncharacterized protein LOC106154518 {ECO:0000313|RefSeq:XP_013384334.1}
jgi|Nemve1|100423|e_gw.57.68.1	Neuropeptide FF receptor 2
jgi|Nemve1|100429|e_gw.57.179.1	Probable RNA-directed DNA polymerase from transposon BS
jgi|Nemve1|100430|e_gw.57.126.1	Protein wntless homolog
jgi|Nemve1|100433|e_gw.57.71.1	Somatostatin receptor type 4
jgi|Nemve1|100445|e_gw.57.113.1	DALR anticodon-binding domain-containing protein 3
jgi|Nemve1|100449|e_gw.57.215.1	30S ribosomal protein S12 {ECO:0000255|HAMAP-Rule:MF_00403}
jgi|Nemve1|100451|e_gw.57.87.1	Caspase-3
jgi|Nemve1|10046|gw.255.3.1	Rapamycin-insensitive companion of mTOR
jgi|Nemve1|100473|e_gw.57.21.1	Protein NEDD1
jgi|Nemve1|100491|e_gw.57.164.1	Protein SSUH2 homolog
jgi|Nemve1|100508|e_gw.57.24.1	Mucolipin-3
jgi|Nemve1|100512|e_gw.57.135.1	Ectonucleoside triphosphate diphosphohydrolase 5
