from	to	direction	method	weight
Proteasome-associated protein ECM29 homolog	Paternally-expressed gene 3 protein	0	M0039	0.0273320974638826
Proteasome-associated protein ECM29 homolog	Uncharacterized protein {ECO:0000313|EMBL:KFM78499.1}	0	M0039	0.120885670311863
Proteasome-associated protein ECM29 homolog	DNA repair protein XRCC1	0	M0039	0.0507870936027415
Proteasome-associated protein ECM29 homolog	Proteasome subunit alpha type-1	0	M0039	0.0417558402994588
Proteasome-associated protein ECM29 homolog	NADP-dependent oxidoreductase domain-containing protein 1	0	M0039	0.0887865393880295
Proteasome-associated protein ECM29 homolog	Rhodopsin	0	M0039	0.160507309079722
Proteasome-associated protein ECM29 homolog	SEC14-like protein 2	0	M0039	0.0172771922665984
Proteasome-associated protein ECM29 homolog	Nuclear pore complex protein Nup88	0	M0039	0.112697442543108
Proteasome-associated protein ECM29 homolog	Trifunctional purine biosynthetic protein adenosine-3	0	M0039	0.165565036108228
Proteasome-associated protein ECM29 homolog	Cytochrome P450 3A24	0	M0039	0.0687900661285497
Proteasome-associated protein ECM29 homolog	Histone deacetylase 6	0	M0039	0.0400912162174345
Proteasome-associated protein ECM29 homolog	Putative acyl-CoA synthetase YngI	0	M0039	0.143408550674032
Proteasome-associated protein ECM29 homolog	Uncharacterized protein {ECO:0000313|EMBL:CDI83792.1}	0	M0039	0.0371500182390091
Proteasome-associated protein ECM29 homolog	UDP-glucuronosyltransferase 1-2	0	M0039	0.0976884511153992
Proteasome-associated protein ECM29 homolog	Transcription initiation factor IIB	0	M0039	0.0473604158861197
Proteasome-associated protein ECM29 homolog	D(1)-like dopamine receptor	0	M0039	0.158096283543526
Proteasome-associated protein ECM29 homolog	Phosphatidylinositol 4-phosphate 5-kinase 9	0	M0039	0.155214194248773
Proteasome-associated protein ECM29 homolog	Prolyl 4-hydroxylase subunit alpha-1	0	M0039	0.0242637108038008
Proteasome-associated protein ECM29 homolog	UDP-glucuronosyltransferase 1-2	0	M0039	0.0632816380272418
Proteasome-associated protein ECM29 homolog	DNA replication licensing factor mcm4-A	0	M0039	0.0860581157067076
Proteasome-associated protein ECM29 homolog	Protein IWS1 homolog	0	M0039	0.0301973953687968
Proteasome-associated protein ECM29 homolog	MORN repeat-containing protein 2	0	M0039	0.0406639178641678
Proteasome-associated protein ECM29 homolog	Ankyrin repeat domain-containing protein 49	0	M0039	0.0172694798659708
Proteasome-associated protein ECM29 homolog	Ubiquitin-related modifier 1 {ECO:0000255|HAMAP-Rule:MF_03048}	0	M0039	0.064015219202852
Proteasome-associated protein ECM29 homolog	DNA-(apurinic or apyrimidinic site) lyase	0	M0039	0.119918523847855
Proteasome-associated protein ECM29 homolog	Chitinase 3	0	M0039	0.0657542748430577
Proteasome-associated protein ECM29 homolog	Cleft lip and palate transmembrane protein 1-like protein	0	M0039	0.0306522760678214
Proteasome-associated protein ECM29 homolog	Telomerase protein component 1	0	M0039	0.109331882647428
Proteasome-associated protein ECM29 homolog	Fanconi anemia group M protein	0	M0039	0.0836746936336556
Proteasome-associated protein ECM29 homolog	Sister chromatid cohesion protein DCC1	0	M0039	0.0483797043196939
Proteasome-associated protein ECM29 homolog	Cysteine-rich protein 2-binding protein	0	M0039	0.0932254454926633
Proteasome-associated protein ECM29 homolog	Putative 115 kDa protein in type-1 retrotransposable element R1DM	0	M0039	0.121551159253371
Proteasome-associated protein ECM29 homolog	NADPH-dependent diflavin oxidoreductase 1 {ECO:0000255|HAMAP-Rule:MF_03178}	0	M0039	0.0797044973431432
Proteasome-associated protein ECM29 homolog	Uncharacterized protein {ECO:0000313|EnsemblMetazoa:SPU_001813-tr}	0	M0039	0.0416445607791105
Proteasome-associated protein ECM29 homolog	Transmembrane protease serine 6	0	M0039	0.0721717368367136
Proteasome-associated protein ECM29 homolog	Tenascin-R	0	M0039	0.167435893837566
Proteasome-associated protein ECM29 homolog	CUGBP Elav-like family member 2	0	M0039	0.129681236994554
Proteasome-associated protein ECM29 homolog	DNA repair and recombination protein RAD54-like	0	M0039	0.0700386715929875
Proteasome-associated protein ECM29 homolog	Probable RNA-directed DNA polymerase from transposon X-element	0	M0039	0.0934276690320355
Proteasome-associated protein ECM29 homolog	Diphthine--ammonia ligase	0	M0039	0.0800698375683583
Proteasome-associated protein ECM29 homolog	Checkpoint protein HUS1	0	M0039	0.147654315988542
Proteasome-associated protein ECM29 homolog	HAUS augmin-like complex subunit 4	0	M0039	0.0358424184420704
Proteasome-associated protein ECM29 homolog	Histidine triad nucleotide-binding protein 1	0	M0039	0.0503404886359859
Proteasome-associated protein ECM29 homolog	UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter	0	M0039	0.0614708076884043
Proteasome-associated protein ECM29 homolog	3-hydroxyacyl-CoA dehydrogenase type-2	0	M0039	0.0353886032071645
Proteasome-associated protein ECM29 homolog	"Carnitine O-palmitoyltransferase 2, mitochondrial"	0	M0039	0.0803039388989456
Proteasome-associated protein ECM29 homolog	Intraflagellar transport protein 22 homolog	0	M0039	0.0181362774015244
Proteasome-associated protein ECM29 homolog	Integrator complex subunit 9 homolog	0	M0039	0.0723156263686332
Proteasome-associated protein ECM29 homolog	DNA repair and recombination protein RAD54-like	0	M0039	0.133602466290485
Proteasome-associated protein ECM29 homolog	E3 SUMO-protein ligase ZNF451 {ECO:0000305|PubMed:26524493}	0	M0039	0.0523033640570869
Proteasome-associated protein ECM29 homolog	Integrator complex subunit 11	0	M0039	0.026349454627235
Proteasome-associated protein ECM29 homolog	Transitional endoplasmic reticulum ATPase	0	M0039	0.0948497323670152
Proteasome-associated protein ECM29 homolog	"Dynein intermediate chain 2, ciliary"	0	M0039	0.077985113313764
Proteasome-associated protein ECM29 homolog	UDP-glucose 6-dehydrogenase	0	M0039	0.121671719669937
Proteasome-associated protein ECM29 homolog	"Isovaleryl-CoA dehydrogenase, mitochondrial"	0	M0039	0.0489327661041405
Proteasome-associated protein ECM29 homolog	Variant surface antigen E	0	M0039	0.0476902985837599
Proteasome-associated protein ECM29 homolog	Matrilin-2	0	M0039	0.112342401091879
Proteasome-associated protein ECM29 homolog	Neuronal acetylcholine receptor subunit alpha-5	0	M0039	0.158841346578861
Proteasome-associated protein ECM29 homolog	"Testis, prostate and placenta-expressed protein"	0	M0039	0.056855167408012
Proteasome-associated protein ECM29 homolog	T-cell immunomodulatory protein	0	M0039	0.0900783463182339
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.0617879617003854
Proteasome-associated protein ECM29 homolog	Cohesin subunit SA-1	0	M0039	0.17790380401837
Proteasome-associated protein ECM29 homolog	Octopamine receptor beta-1R	0	M0039	0.0260257579998575
